kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
P002Z;219;15440;70,5023;50,7637;0,5814;0,3607;0,6393;14,3242;2,851;0,00;0,00;0,00;0,0046;0,0913;0,4749;0,4247;0,0046;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;549,37;144,36;0,7919;1
P003A;168;13826;82,2976;56,0769;0,5947;0,5357;0,4643;47,8631;20,196;0,00;0,00;0,00;0,00;0,00;0,00;0,0119;0,244;0,1548;0,125;0,0774;0,1071;0,0476;0,1012;0,0655;0,0655;382,89;162,73;0,7018;1
P003B;381;19261;50,5538;38,3906;0,5684;0,5407;0,4593;50,1234;22,6521;0,00;0,00;0,00;0,00;0,00;0,00;0,0026;0,2625;0,126;0,1234;0,063;0,0604;0,0499;0,1102;0,063;0,1391;336,60;127,58;0,7251;19
P003C;238;10788;45,3277;26,6444;0,6298;0,4958;0,5042;40,8403;19,6348;0,00;0,00;0,00;0,00;0,00;0,00;0,0084;0,3445;0,2269;0,1134;0,084;0,0462;0,0504;0,0336;0,021;0,0714;315,47;97,71;0,7635;19
PA01A;1009;24241;24,0248;24,116;0,4991;0,6293;0,3707;38,7225;14,5884;0,00;0,00;0,00;0,00;0,00;0,00;0,003;0,3261;0,227;0,1754;0,0942;0,0813;0,0515;0,0327;0,005;0,004;307,79;95,20;0,7638;7
PA01B;898;19793;22,0412;22,2721;0,4974;0,5612;0,4388;34,8586;13,9247;0,00;0,00;0,00;0,00;0,00;0,00;0,0011;0,4688;0,1938;0,1381;0,0813;0,059;0,0379;0,0167;0,0011;0,0022;273,11;67,70;0,8014;4
PA02A;8977;144330;16,0778;12,6869;0,5589;0,7748;0,225;38,756;9,4437;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,1525;0,4176;0,2972;0,0818;0,0307;0,0106;0,0056;0,0021;0,0013;287,53;61,79;0,8231;17
PA02B;7644;115120;15,0602;14,2748;0,5134;0,7839;0,2161;39,5109;12,0304;0,00;0,00;0,00;0,00;0,00;0,00;0,0014;0,2156;0,3274;0,2507;0,0934;0,0556;0,0268;0,0184;0,006;0,0046;272,27;69,98;0,7955;18
PA02C;20164;342648;16,9931;13,1295;0,5641;0,728;0,272;45,2959;15,3436;0,00;0,00;0,00;0,00;0,00;0,00;0,0023;0,1769;0,2178;0,1995;0,1159;0,0908;0,0558;0,112;0,0208;0,0081;253,27;69,57;0,7845;18
PA02D;30907;315503;10,2081;11,1414;0,4781;0,7249;0,275;44,5974;11,7712;0,00;0,00;0,00;0,00;0,00;0,0001;0,0015;0,133;0,1867;0,2712;0,1784;0,1468;0,0822;0,00;0,00;0,00;255,84;80,43;0,7608;18
PA03A;9284;359115;38,6811;36,5775;0,514;0,4226;0,5774;54,9201;17,0719;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0934;0,1271;0,1416;0,1012;0,0937;0,0812;0,2322;0,0771;0,0523;268,70;76,39;0,7786;16
PA03B;25194;800115;31,7582;32,4196;0,4948;0,5971;0,4029;40,2443;12,1633;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,228;0,2712;0,2284;0,1194;0,0925;0,0601;0,00;0,00;0,00;243,88;70,14;0,7766;21
PA04A;6011;201003;33,4392;30,662;0,5217;0,4034;0,5966;64,9825;21,0923;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,0962;0,0622;0,0734;0,0612;0,0584;0,0574;0,1615;0,1096;0,3196;275,86;78,05;0,7795;16
PA04B;16792;581159;34,6093;29,3259;0,5413;0,367;0,633;61,7073;18,2694;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,0918;0,076;0,0773;0,052;0,0453;0,0326;0,3217;0,1878;0,1153;248,02;72,10;0,7748;21
PA04C;51629;1580925;30,6209;28,5843;0,5172;0,4681;0,5318;39,9101;13,7582;0,00;0,00;0,00;0,00;0,00;0,0001;0,0009;0,2973;0,1839;0,2027;0,1327;0,1093;0,0732;0,00;0,00;0,00;227,88;70,48;0,7638;20
PA14A;1966;59884;30,4598;32,6053;0,483;0,296;0,704;34,6673;14,1915;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,4603;0,2202;0,1373;0,0707;0,0463;0,0346;0,0178;0,0056;0,0066;266,28;90,01;0,7474;10
PA14B;7091;177121;24,9783;26,1981;0,4881;0,3059;0,6941;29,6576;10,3931;0,00;0,00;0,00;0,00;0,00;0,0006;0,0027;0,5913;0,2213;0,1193;0,041;0,0182;0,0056;0,00;0,00;0,00;245,93;80,30;0,7539;12
PA15A;6551;166386;25,3986;19,9522;0,56;0,5103;0,4895;78,5398;10,9154;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0029;0,0031;0,0139;0,0163;0,0221;0,0435;0,1702;0,1897;0,5382;324,73;79,50;0,8033;15
PA15B;11254;261017;23,1933;18,286;0,5592;0,434;0,566;80,0975;9,2064;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,002;0,0022;0,006;0,009;0,0123;0,0243;0,142;0,2207;0,5816;303,80;86,20;0,779;16
PA15C;2967;75074;25,303;22,3288;0,5312;0,4978;0,5022;69,9629;12,5525;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0195;0,0118;0,0374;0,0506;0,059;0,0593;0,2899;0,2524;0,2201;280,48;109,60;0,719;18
PK01A;222;7166;32,2793;37,6043;0,4619;0,8063;0,1937;12,6171;3,66;0,00;0,00;0,00;0,045;0,1802;0,4685;0,3018;0,0045;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;455,87;161,48;0,7384;11
PK01B;253;10594;41,8735;33,5552;0,5551;0,8103;0,1897;11,4348;3,4619;0,00;0,00;0,00;0,0395;0,2846;0,5257;0,1423;0,0079;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;406,36;103,03;0,7977;11
PK02A;523;10766;20,5851;16,5207;0,5548;0,6711;0,3289;16,0554;1,1324;0,00;0,00;0,00;0,00;0,00;0,2696;0,7017;0,0287;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;445,72;110,60;0,8012;12
PK02B;215;2992;13,9163;25,6758;0,3515;0,6372;0,3628;16,2419;1,171;0,00;0,00;0,00;0,00;0,00;0,2465;0,693;0,0605;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;393,02;185,54;0,6793;15
PK03Z;359;18841;52,4819;62,3385;0,4571;0,6072;0,3928;15,8468;1,3625;0,00;0,00;0,00;0,00;0,00;0,3565;0,6017;0,0418;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;441,49;156,01;0,7389;17
PK04A;3565;99373;27,8746;39,0248;0,4167;0,3223;0,6777;14,5927;2,4702;0,00;0,00;0,0017;0,0081;0,0373;0,533;0,4028;0,0171;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;431,78;117,62;0,7859;17
PK04B;7335;234890;32,0232;35,7983;0,4722;0,2965;0,7035;14,7118;2,4434;0,00;0,0007;0,0027;0,0052;0,0277;0,5362;0,3959;0,0316;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;373,67;126,43;0,7472;20
PK10Z;751;53000;70,5726;53,3889;0,5693;0,0839;0,9161;13,7031;3,8145;0,00;0,012;0,0373;0,02;0,0186;0,5659;0,3289;0,0173;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;431,90;94,37;0,8207;1
PK14A;1831;62615;34,1972;32,7786;0,5106;0,5975;0,4025;11,5063;3,9668;0,00;0,0005;0,0044;0,0453;0,2987;0,4555;0,1912;0,0044;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;450,22;108,74;0,8055;16
PK14B;1667;69734;41,832;32,5862;0,5621;0,6995;0,3005;10,8308;1,7366;0,00;0,00;0,00;0,00;0,2801;0,7199;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;406,60;95,56;0,8097;20
PK14C;1598;41310;25,8511;30,732;0,4569;0,4468;0,5526;15,4969;1,248;0,00;0,00;0,00;0,00;0,00;0,5275;0,4374;0,035;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;384,17;143,53;0,728;20
PP04A;2329;92852;39,8678;23,477;0,6294;0,3014;0,6986;54,4208;17,947;0,00;0,00;0,00;0,00;0,00;0,00;0,0004;0,1262;0,1095;0,1365;0,103;0,0803;0,0541;0,2559;0,0902;0,0438;226,34;57,70;0,7969;17
PP04B;8774;340815;38,8437;20,9186;0,65;0,3227;0,6773;42,8341;13,0586;0,00;0,00;0,00;0,00;0,00;0,00;0,0017;0,216;0,1625;0,2229;0,1745;0,1492;0,0732;0,00;0,00;0,00;207,80;51,51;0,8014;18
PP10A;532;29255;54,9906;36,8647;0,5987;0,0827;0,9173;29,2782;10,7697;0,00;0,00;0,00;0,00;0,00;0,00;0,0113;0,6053;0,188;0,1203;0,0564;0,0113;0,0056;0,0019;0,00;0,00;268,71;62,14;0,8122;1
PP10B;224;9735;43,4598;22,1079;0,6628;0,0625;0,9375;30,5491;10,6686;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,5893;0,2098;0,1161;0,0491;0,0313;0,0045;0,00;0,00;0,00;242,08;45,24;0,8425;1
PP14Z;833;34997;42,0132;27,2245;0,6068;0,2821;0,7179;33,8031;12,9124;0,00;0,00;0,00;0,00;0,00;0,00;0,0072;0,4514;0,2437;0,1633;0,0564;0,0372;0,0144;0,0216;0,0048;0,00;229,63;60,09;0,7926;1
TA02Z;2201;28847;13,1063;9,774;0,5728;0,7024;0,2976;42,7887;12,6693;0,00;0,00;0,00;0,00;0,00;0,00;0,0009;0,1699;0,2485;0,2372;0,1449;0,1109;0,0522;0,0332;0,0018;0,0005;213,38;60,41;0,7794;1
TA15Z;549;10353;18,8579;15,5105;0,5487;0,4135;0,5865;73,9964;10,1309;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0091;0,0073;0,0091;0,0219;0,0328;0,0419;0,2732;0,2987;0,306;213,41;68,13;0,758;1
TA19Z;4102;118429;28,871;18,2622;0,6125;0,3133;0,6865;65,3957;16,5799;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,059;0,0556;0,0636;0,0407;0,0319;0,0224;0,3749;0,2089;0,1429;205,42;50,65;0,8022;1
TA20Z;25778;734623;28,4981;18,0649;0,612;0,4228;0,5772;40,1404;12,9463;0,00;0,00;0,00;0,00;0,00;0,00;0,0003;0,2679;0,2128;0,2187;0,1375;0,1038;0,059;0,00;0,00;0,00;193,95;48,53;0,7999;1
TK04Z;2719;106209;39,0618;26,9533;0,5917;0,3987;0,6013;13,3954;3,0197;0,00;0,00;0,00;0,0085;0,1199;0,5734;0,2766;0,0217;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;297,95;84,04;0,78;1
TK14Z;2875;119758;41,655;27,3402;0,6037;0,6713;0,3287;10,8883;3,4222;0,00;0,00;0,0014;0,0209;0,3861;0,4737;0,097;0,0209;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;322,31;86,35;0,7887;1
TP20Z;3954;118140;29,8786;16,9141;0,6385;0,3217;0,6783;40,9279;13,0161;0,00;0,00;0,00;0,00;0,00;0,00;0,0005;0,2479;0,2021;0,2504;0,133;0,1022;0,0458;0,0142;0,0028;0,0013;193,95;48,53;0,7999;1
